Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
scalatra	3.3 ms	0.1%	14.2 ms	240.9 ms	0
treefrog-thread	3.5 ms	0.1%	1.9 ms	76.6 ms	0
dropwizard	3.5 ms	0.1%	19.7 ms	667.0 ms	0
nodejs	3.8 ms	0.1%	1.3 ms	14.2 ms	0
bottle-nginx-uwsgi	3.8 ms	0.1%	2.3 ms	46.3 ms	0
wsgi	3.9 ms	0.1%	0.8 ms	11.3 ms	0
play-scala-anorm	3.9 ms	0.1%	28.6 ms	1460.0 ms	0
yesod	4.0 ms	0.1%	3.9 ms	102.9 ms	0
ninja-standalone	4.2 ms	0.1%	3.5 ms	29.5 ms	0
play1-siena	4.2 ms	0.1%	10.3 ms	132.5 ms	0
rack-ruby	4.2 ms	0.1%	3.4 ms	624.2 ms	0
falcon	4.6 ms	0.1%	8.1 ms	69.1 ms	0
jester	4.7 ms	0.1%	33.9 ms	1020.0 ms	0
php	4.7 ms	0.1%	6.2 ms	282.9 ms	0
uwsgi-nginx-uwsgi	4.7 ms	0.1%	2.3 ms	31.3 ms	0
bottle	5.3 ms	0.1%	8.7 ms	50.4 ms	0
nawak	5.4 ms	0.1%	1.6 ms	15.7 ms	0
luminus	5.4 ms	0.1%	24.1 ms	293.3 ms	0
play-java-jpa	5.6 ms	0.1%	15.2 ms	217.4 ms	0
express	5.8 ms	0.1%	2.1 ms	19.8 ms	0
spring	6.1 ms	0.1%	1.5 ms	33.5 ms	0
falcon-py3	6.4 ms	0.1%	8.9 ms	43.4 ms	0
grails	6.4 ms	0.1%	16.4 ms	173.6 ms	0
hhvm	6.5 ms	0.1%	2.1 ms	49.3 ms	0
lift-stateless	6.5 ms	0.1%	5.0 ms	79.2 ms	0
ringojs	6.9 ms	0.2%	37.6 ms	1500.0 ms	0
uwsgi	7.0 ms	0.2%	20.6 ms	1040.0 ms	0
bottle-py3	7.0 ms	0.2%	10.0 ms	52.2 ms	0
dart	7.4 ms	0.2%	22.1 ms	1120.0 ms	0
ringojs-conv	7.6 ms	0.2%	21.4 ms	295.2 ms	0
plack	7.9 ms	0.2%	2.6 ms	24.3 ms	0
yaf-raw	8.5 ms	0.2%	8.7 ms	525.4 ms	0
sinatra-jruby	9.1 ms	0.2%	17.5 ms	641.9 ms	0
php-phalcon-micro	9.3 ms	0.2%	9.1 ms	602.2 ms	0
start	9.3 ms	0.2%	29.1 ms	1110.0 ms	0
stream	9.6 ms	0.2%	32.3 ms	1140.0 ms	0
tornado	10.8 ms	0.2%	4.3 ms	26.9 ms	0
ninja-standalone	11.5 ms	0.3%	14.6 ms	159.8 ms	0
treefrog	12.2 ms	0.3%	10.1 ms	638.3 ms	0
flask-pypy	12.8 ms	0.3%	18.5 ms	351.3 ms	0
tornado-py3	13.2 ms	0.3%	3.8 ms	40.3 ms	0
sinatra-ruby	13.7 ms	0.3%	3.1 ms	47.1 ms	0
flask-nginx-uwsgi	13.7 ms	0.3%	4.8 ms	76.0 ms	0
nancy-libevent2	14.6 ms	0.3%	13.6 ms	91.5 ms	0
php-phalcon	14.9 ms	0.3%	11.4 ms	503.8 ms	0
flask	15.3 ms	0.3%	13.1 ms	78.0 ms	0
hapi	15.4 ms	0.3%	8.7 ms	62.0 ms	0
flask-py3	15.9 ms	0.3%	13.1 ms	67.2 ms	0
web-simple	16.7 ms	0.4%	5.2 ms	83.6 ms	0
pyramid-py2	18.0 ms	0.4%	3.6 ms	54.4 ms	0
micromvc	18.1 ms	0.4%	13.3 ms	499.9 ms	0
snap	18.4 ms	0.4%	2.7 ms	26.7 ms	0
kelp	20.2 ms	0.4%	3.4 ms	63.5 ms	0
phpixie	21.5 ms	0.5%	13.0 ms	516.0 ms	0
pyramid-py3	22.5 ms	0.5%	4.4 ms	58.4 ms	0
django-postgresql	28.3 ms	0.6%	14.8 ms	116.6 ms	0
django	28.8 ms	0.6%	15.9 ms	99.3 ms	0
django-py3	31.7 ms	0.7%	17.0 ms	111.9 ms	0
dancer	39.3 ms	0.9%	1.4 ms	54.7 ms	0
rails-stripped-ruby	42.7 ms	0.9%	6.7 ms	115.8 ms	0
mojolicious	44.8 ms	1.0%	2.2 ms	63.2 ms	0
slim	53.5 ms	1.2%	33.7 ms	368.3 ms	0
rails-ruby	56.8 ms	1.2%	7.0 ms	135.0 ms	0
codeigniter	59.5 ms	1.3%	31.5 ms	421.2 ms	0
php-kohana	65.4 ms	1.4%	57.6 ms	2620.0 ms	0
rails-stripped-jruby	75.3 ms	1.7%	40.1 ms	1590.0 ms	0
rails-jruby	79.8 ms	1.7%	28.9 ms	708.7 ms	0
silex	92.4 ms	2.0%	85.3 ms	1230.0 ms	0
lithium	95.6 ms	2.1%	69.1 ms	2090.0 ms	0
servicestack-nginx-d	107.4 ms	2.4%	18.8 ms	123.2 ms	212
silex-orm	110.5 ms	2.4%	114.8 ms	639.0 ms	14,098
laravel	122.0 ms	2.7%	193.8 ms	1170.0 ms	15,800
cake	144.1 ms	3.2%	92.4 ms	737.0 ms	0
symfony2	307.3 ms	6.7%	291.8 ms	1140.0 ms	6,208
symfony2	311.2 ms	6.8%	289.7 ms	1270.0 ms	6,253
racket-ws	591.8 ms	13.0%	753.5 ms	2030.0 ms	0
phreeze	1400.0 ms	30.7%	2030.0 ms	9100.0 ms	0
nancy	1950.0 ms	42.8%	1480.0 ms	3820.0 ms	2,103
fuel	4560.0 ms	100.0%	3960.0 ms	8070.0 ms	0
