Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
rails-ruby	580	4.5%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	523	4.1%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
rails-stripped-jruby	496	3.9%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
rails-jruby	464	3.6%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
symfony2	459	3.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	6,856
symfony2	459	3.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	6,852
spark	404	3.1%	Mcr	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
yesod	290	2.3%	Mcr	Hkl	Wai	Wrp	Lin	Mo	Lin	Raw	Rea	0
sinatra-ruby	79	0.6%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
nancy	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	9,866
nancy-libevent2	0	0.0%	Mcr	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	80,812
nancy	0	0.0%	Mcr	C#	Net	IIS	Win	My	Lin	Raw	Rea	114,349
