Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
wicket	2,576	28.1%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
treefrog-thread	2,304	25.1%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
yaf-raw	2,044	22.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
play-slick	2,040	22.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
dart	2,038	22.2%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
start	1,798	19.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
treefrog	1,707	18.6%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
php-phalcon-micro	1,574	17.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
stream	1,571	17.1%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
stream	1,509	16.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
bottle-mysql-raw	1,413	15.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
ninja-standalone	1,408	15.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
grails	1,407	15.3%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
flask-pypy	1,389	15.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
activeweb	1,340	14.6%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
ninja-standalone	1,286	14.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
spring	1,131	12.3%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
flask	1,100	12.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
urweb-postgres	1,096	12.0%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
flask-pypy	1,070	11.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
ringojs	992	10.8%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
ringojs-conv	989	10.8%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
php-phalcon	880	9.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
plain	802	8.7%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
grizzly-jersey	785	8.6%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
plain-servlet-linux	784	8.6%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
urweb-mysql	707	7.7%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
flask	679	7.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
phpixie	675	7.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
bottle-nginx-uwsgi	647	7.1%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
bottle	631	6.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-nginx-uwsgi	623	6.8%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
bottle-py3	588	6.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-py3	579	6.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	557	6.1%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	468	5.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
django	430	4.7%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-postgresql	422	4.6%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
rails-ruby	385	4.2%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
django-py3	381	4.2%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
phreeze	357	3.9%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
php-kohana-raw	312	3.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
fuel	189	2.1%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
laravel-raw	151	1.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	667
symfony2	62	0.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	905
symfony2-raw	60	0.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	882
symfony2	52	0.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	781
symfony2	52	0.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	758
symfony2	41	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	608
symfony2-php-templat	41	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	615
start	0	0.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	97,297
