Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
go	16,363	8.7%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	16,192	8.6%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
ringojs	14,980	7.9%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
grails	14,585	7.7%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
phpixie	13,050	6.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
bottle	12,662	6.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
ringojs-conv	11,895	6.3%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
flask	11,592	6.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
bottle-py3	11,541	6.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	11,541	6.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
bottle-nginx-uwsgi	10,589	5.6%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask-py3	10,486	5.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py2	10,229	5.4%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	0
spring	9,997	5.3%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
flask-pypy	9,400	5.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
flask-nginx-uwsgi	9,187	4.9%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
pyramid-py3	8,865	4.7%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	0
bottle-pypy	8,694	4.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-postgresql	8,023	4.3%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
django	7,428	3.9%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
falcore	7,348	3.9%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
django-py3	7,196	3.8%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
php-kohana-raw	6,939	3.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
flask-pypy	6,598	3.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
play-activate-mysql	6,021	3.2%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
treefrog-thread	6,003	3.2%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
phreeze	4,779	2.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
fuel	4,075	2.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
activeweb	3,759	2.0%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
rails-jruby	3,747	2.0%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
ninja-standalone	3,231	1.7%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
rails-ruby	2,729	1.4%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
ninja-standalone	2,570	1.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
laravel-raw	2,245	1.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	32,293
symfony2	634	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	9,107
symfony2-php-templat	620	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	8,783
symfony2-raw	584	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	8,432
symfony2	544	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	7,858
symfony2	542	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	7,873
