Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
ur/web	3,085	2.9%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
senthot	2,950	2.8%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
rails-ruby	2,892	2.7%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
http-listener	2,772	2.6%	Plt	C#	Net	hts	Win	Pg	Lin	Raw	Rea	0
aspnet-stripped-raw	2,730	2.6%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Str	0
php-phalcon	1,873	1.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	12,356
micromvc	1,835	1.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	11,209
phpixie	1,527	1.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	9,000
lithium	1,453	1.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
slim	1,282	1.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	7,884
silex	1,231	1.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	16,220
php-kohana-raw	1,006	0.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	4,995
fuel	938	0.9%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	3,650
restexpress-mysql-ra	870	0.8%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	11,018
php	792	0.7%	Plt	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	11,694
aspnet-mvc-mono	686	0.6%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	2,523
cake	632	0.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	3,701
aspnet-mvc-mono	576	0.5%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	2,197
silex-orm	477	0.4%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	7,064
laravel-raw	377	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	11,851
symfony2-raw	370	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	5,487
symfony2	370	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	5,492
symfony2	308	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	4,566
symfony2	307	0.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	4,575
servicestack	114	0.1%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	210
servicestack	9	0.0%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	98
