Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
ninja	212	18.6%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
snap	208	18.3%	Mcr	Hkl	Snp	Non	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	202	17.8%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
php-kohana-raw	200	17.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
php-phalcon	197	17.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
nodejs-mongodb	180	15.8%	Plt	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
restexpress-mysql-ra	177	15.6%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	1,642
hapi	171	15.0%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
express-mongodb	168	14.8%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
php	167	14.7%	Plt	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
sinatra-jruby	129	11.3%	Mcr	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
django-postgresql	124	10.9%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	296
slim	123	10.8%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	877
servicestack	119	10.5%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
rails-stripped-jruby	115	10.1%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
rails-jruby	112	9.9%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
django	112	9.9%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	286
django-py3	108	9.5%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	329
bottle	106	9.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	271
flask	103	9.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	270
fuel	93	8.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
cake	91	8.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
bottle-py3	90	7.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	296
flask-py3	88	7.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	260
laravel-raw	59	5.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	879
treefrog	59	5.2%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
lithium	55	4.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
symfony2-raw	54	4.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	790
symfony2	49	4.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	724
silex-orm	46	4.0%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	683
aspnet-mvc-mono	43	3.8%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
sinatra-ruby	41	3.6%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	200,496
symfony2	38	3.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	571
symfony2	38	3.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	572
rails-stripped-ruby	36	3.2%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	211,320
rails-ruby	35	3.1%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	203,655
tornado	27	2.4%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	2,798
nodejs-mysql-raw	1	0.1%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
